Title,Molecule,Target,pIC50
CHEMBL81485,CNCC1CC2c3ccccc3Cc4ccccc4N2O1,A2a,6.36
CHEMBL83658,CN(C)CC1CC2c3ccccc3Cc4ccccc4N2O1,A2a,6.43
CHEMBL6437,CN1CCN2c3ccccc3Cc4ccccc4C2C1,A2a,7.525
CHEMBL315772,CN(C)CC1CC2c3ccccc3Cc4ccc(cc4N2O1)Cl,A2a,6.32
CHEMBL133455,CC(Cc1c[nH]c2c1c3c(cc2)OCCC3)N,A2a,4.72
CHEMBL138809,COC1c2ccccc2C3(O1)CCN(CC3)Cc4ccccc4,A2a,5.21
CHEMBL138458,COC1Cc2ccccc2C3(O1)CCN(CC3)CCCc4ccccc4,A2a,5.51
CHEMBL141209,COC1Cc2ccccc2C3(O1)CCN(CC3)Cc4ccccc4,A2a,5.52
CHEMBL162436,c1ccc(cc1)Cc2c(c(=O)n3ccccc3n2)CCN4CCc5c(c6ccccc6o5)C4,A2a,8.66
CHEMBL164612,Cc1c(c(=O)n2ccccc2n1)CCN3CCc4c(c5cccc(c5o4)Cl)C3,A2a,9.05
CHEMBL162490,Cc1c(c(=O)n2cccc(c2n1)OC)CCN3CCc4c(c5ccccc5o4)C3,A2a,9.53
CHEMBL351483,Cc1c(c(=O)n2cc(ccc2n1)Cl)CCN3CCc4c(c5ccccc5o4)C3,A2a,9.67
CHEMBL165677,Cc1c(c(=O)n2ccccc2n1)CCN3CCc4c(c5cc(ccc5o4)Cl)C3,A2a,8.41
CHEMBL165350,Cc1c(c(=O)n2cc(ccc2n1)Br)CCN3CCc4c(c5ccccc5o4)C3,A2a,9.45
CHEMBL165796,Cc1ccn2c(c1)nc(c(c2=O)CCN3CCc4c(c5ccccc5o4)C3)C,A2a,9.35
CHEMBL162058,Cc1c(c(=O)n2cc(c(cc2n1)OC)OC)CCN3CCc4c(c5ccccc5o4)C3,A2a,8.45
CHEMBL162501,Cc1c(c(=O)n2ccccc2n1)CCN3CCc4c(c5ccccc5o4)C3,A2a,9.26
CHEMBL165776,Cc1c(c(=O)n2ccccc2n1)CCCN3CCc4c(c5ccccc5o4)C3,A2a,7.99
CHEMBL162826,Cc1c(c(=O)n2cccc(c2n1)O)CCN3CCc4c(c5ccccc5o4)C3,A2a,9.16
CHEMBL10316,c1ccc2c(c1)OCC(O2)C3=NCCN3,A2a,8.08
CHEMBL163247,Cc1c(c(=O)n2cc(cc(c2n1)Cl)Cl)CCN3CCc4c(c5ccccc5o4)C3,A2a,9.23
CHEMBL162232,Cc1cc(n2c(c1)nc(c(c2=O)CCN3CCc4c(c5ccccc5o4)C3)C)C,A2a,9.47
CHEMBL351200,Cc1cccn2c1nc(c(c2=O)CCN3CCc4c(c5ccccc5o4)C3)C,A2a,9.22
CHEMBL162147,Cc1c(c(=O)n2cc(cc(c2n1)Cl)C(F)(F)F)CCN3CCc4c(c5ccccc5o4)C3,A2a,8.93
CHEMBL162682,Cc1c(c(=O)n2cc(ccc2n1)I)CCN3CCc4c(c5ccccc5o4)C3,A2a,9.62
CHEMBL165181,Cc1c(c(=O)n2ccccc2n1)CCN3CCc4c(c5ccccc5s4)C3,A2a,8.76
CHEMBL654,CN1CCN2c3c(cccn3)Cc4ccccc4C2C1,A2a,7.07
CHEMBL162370,Cc1ccc2nc(c(c(=O)n2c1)CCN3CCc4c(c5ccccc5o4)C3)C,A2a,9.46
CHEMBL163190,Cc1cccc2n1c(=O)c(c(n2)C)CCN3CCc4c(c5ccccc5o4)C3,A2a,9.54
CHEMBL84931,CN(C)CC1CC2c3ccccc3Cc4ccc(cc4N2O1)F,A2a,6.3
CHEMBL544765,c1ccc2c(c1)cccc2Cc3c[nH]cn3,A2a,5.52
CHEMBL306751,CC(c1cccc2c1cccc2)c3c[nH]cn3,A2a,5.28
CHEMBL542155,c1ccc2c(c1)cccc2C(c3c[nH]cn3)O,A2a,4.21
CHEMBL77921,Cc1cccc(c1C)C(C)c2c[nH]cn2,A2a,5.47
CHEMBL346389,c1cc(ccc1N2CCN(CC2)Cc3ccc4c(c3)OCC(=O)N4)Cl,A2a,5.96
CHEMBL180003,CN(C)c1c2ccccc2nc(n1)NC3CCC(CC3)NS(=O)(=O)c4ccc(cc4OC(F)(F)F)Br,A2a,7.24
CHEMBL360081,CN(C)c1c2ccccc2nc(n1)NC3CCC(CC3)NC(=O)c4cc(cc(c4)OC)OC,A2a,7.15
CHEMBL181184,CN(C)c1c2ccccc2nc(n1)NC3CCC(CC3)NC(=O)c4ccc(cc4OC(F)(F)F)Br,A2a,6.41
CHEMBL359510,CN(C)c1c2ccccc2nc(n1)NC3CCC(CC3)NC(=O)c4cccc(c4)Br,A2a,7.2
CHEMBL367355,CN(C)c1c2ccccc2nc(n1)NCC3CCC(CC3)CNC(=O)c4ccc(cc4OC(F)(F)F)Br,A2a,8.0
CHEMBL360117,CN(C)c1c2ccccc2nc(n1)NCC3CCC(CC3)CNCc4ccc(cc4OC(F)(F)F)Br,A2a,7.51
CHEMBL178084,CN(C)c1c2ccccc2nc(n1)NC3CCC(CC3)NCc4ccc(cc4OC(F)(F)F)Br,A2a,6.77
CHEMBL180962,Cc1cccc(c1)C(=O)NC2CCC(CC2)Nc3nc4ccccc4c(n3)N(C)C,A2a,6.96
CHEMBL181632,CN(C)c1c2ccccc2nc(n1)NC3CCC(CC3)NC(=O)c4cccc(c4)C(F)(F)F,A2a,7.22
CHEMBL182235,CN(C)c1c2ccccc2nc(n1)NCC3CCC(CC3)CN(C)Cc4ccc(cc4OC(F)(F)F)Br,A2a,7.36
CHEMBL360876,CN(C)c1c2ccccc2nc(n1)NC3CCN(CC3)Cc4ccc(cc4OC(F)(F)F)Br,A2a,6.28
CHEMBL362193,CN(C)c1c2ccccc2nc(n1)NC3CCC(CC3)NC(=O)c4cccc(c4)F,A2a,6.89
CHEMBL181099,CN(C)c1c2ccccc2nc(n1)NC3CCC(CC3)NC(=O)c4cccc(c4)C#N,A2a,6.82
CHEMBL181393,CN(C)c1c2ccccc2nc(n1)NC3CCC(CC3)CNC(=O)c4ccc(cc4OC(F)(F)F)Br,A2a,6.24
CHEMBL537846,CN(C)c1c2ccccc2nc(n1)NCC3CCC(CC3)CNS(=O)(=O)c4ccc(cc4OC(F)(F)F)Br,A2a,8.11
